name,switch_motor,set,doubles,doubles2,blackboard,i2c
sc,0,0,36,44,0,0
sc,0,0,27,50,0,0
sc,1,0,31,54,0,0
sc,0,1,31,50,0,0
sc,1,0,28,46,0,0
sc,0,0,29,47,0,0
sc,0,0,28,47,0,0
sc,0,0,31,47,1,0
sc,0,0,30,48,0,0
sc,0,0,29,54,0,0
sc,0,0,29,51,0,0
sc,0,0,28,44,0,0
sc,0,1,28,48,0,0
sc,1,0,31,50,0,0
sc,0,1,26,45,0,0
sc,0,0,27,46,0,0
sc,0,0,27,44,0,0
sc,0,0,28,48,0,0
sc,0,0,30,52,0,0
sc,1,0,34,56,0,0
sc,0,0,31,51,0,0
sc,0,0,28,43,0,0
sc,1,0,31,48,0,0
sc,0,0,34,45,0,0
sc,0,0,26,53,0,0
sc,0,0,31,47,0,0
sc,0,0,33,51,0,0
sc,0,1,30,46,0,0
sc,0,0,28,46,0,0
sc,0,0,26,49,0,0
sc,0,0,28,47,0,0
sc,1,0,30,47,0,0
sc,0,0,28,46,0,0
sc,1,0,30,43,0,0
sc,0,0,28,45,0,0
sc,0,0,31,47,0,0
sc,0,0,28,47,0,0
sc,0,0,31,50,0,0
sc,0,0,31,50,0,0
sc,0,0,28,44,0,0
sc,0,0,26,46,0,0
sc,0,0,28,44,0,0
sc,0,0,31,47,0,0
sc,0,0,27,45,0,0
sc,0,0,36,53,0,0
sc,0,0,34,48,0,0
sc,0,0,29,49,0,0
sc,0,0,31,47,0,0
sc,0,1,27,52,0,0
sc,0,0,29,47,1,0
sc,0,0,31,49,0,0
sc,0,0,26,47,0,0
sc,0,0,26,47,0,0
sc,0,0,26,46,0,0
sc,0,0,29,46,0,0
sc,0,1,41,81,0,0
sc,0,0,41,93,0,0
sc,0,0,41,56,0,0
sc,0,0,29,45,0,0
sc,0,0,31,51,0,0
sc,0,1,29,59,0,0
sc,0,0,31,54,0,0
sc,0,0,27,45,0,0
sc,0,0,33,52,0,0
sc,0,0,31,92,0,0
sc,1,0,29,50,0,0
sc,0,0,30,54,0,0
sc,0,0,33,50,0,0
